Card Name	Evolve	Condition:	Cost.	Additional Instructions.
Blue-Eyes Shining Evolution Dragon	Blue-Eyes White Dragon	N/A	"Banish 1 ""Burst Stream of Destruction"" from your hand, field, or GY"	N/A
Cyber Barrier Evolution Dragon	Cyber Dragon	N/A	"Send 1 ""Cyber Barrier Unit"" from your hand or face-up on your field to the GY."	N/A
Cyber Laser Evolution Dragon	Cyber Dragon	N/A	"Send 1 ""Cyber Laser Unit"" from your hand or face-up on your field to the GY."	N/A
"Diabound, Corrupted"	"Diabound, Evolved"	It destroyed a Level 5 or higher monster by battle this turn.	N/A	N/A
"Diabound, Evolved"	"Diabound, Core"	It destroyed a monster by battle this turn.	N/A	N/A
Genesis of the Vampires	Vampire Lord	It inflicted battle damage to your opponent this turn.	N/A	N/A
Great Moth of Evolution	Great Cocoon of Evolution	It must have 4 or more Moth Counters on it	N/A	N/A
Larvae Moth of Evolution	Great Cocoon of Evolution	It must have 1 or more Moth Counters on it	N/A	N/A
Metal Fiend Zoa	Zoa	N/A	"Send 1 ""Metalmorph"" from your hand to the GY"	N/A
Metal-Armoured Ryu Kokki	Ryu Kokki	N/A	"Send 1 ""Metalmorph"" equipped to it to the GY"	N/A
"Neo-Daedalus, the Ocean Dragon Lord"	Levia-Dragon - Daedalus	"It was Normal Summoned with 1 Tribute while you controlled a card whose original name is ""A Legendary Ocean""."	N/A	N/A
Red-Eyes Darkness Evolution Dragon	Red-Eyes Black Dragon	N/A	"Send 1 ""Darkness Energy"" from your hand or field to the GY."	N/A
Red-Eyes Darkness Fullmetal Evolution Dragon	"Red-Eyes Darkness Evolution Dragon, Red-Eyes Metal Evolution Dragon, or Red-Eyes Talon Evolution Dragon"	If it was not Summoned this turn: 	"Send 1 ""Darkness Energy"", ""Metalmorph"", or ""Dragon Nails"" (whichever is not mentioned on the Evolution Material used) from your hand or field to the GY."	N/A
Red-Eyes Darkness Metal Evolution Dragon	Red-Eyes Darkness Evolution Dragon or Red-Eyes Metal Evolution Dragon	If it was not Summoned this turn: 	"Send 1 ""Darkness Energy"" or ""Metalmorph"" (whichever is not mentioned on the Evolution Material used) from your hand or field to the GY."	N/A
Red-Eyes Darkness Talon Evolution Dragon	Red-Eyes Darkness Evolution Dragon or Red-Eyes Talon Evolution Dragon	If it was not Summoned this turn: 	"Send 1 ""Darkness Energy"" or ""Dragon Nails"" (whichever is not mentioned on the Evolution Material used) from your hand or field to the GY."	N/A
Red-Eyes Eternal Darkness Dragon	Red-Eyes Black Dragon	N/A	"Send 1 ""Mask of Darkness"" from your hand to the GY"	N/A
Red-Eyes Fullmetal Evolution Dragon	Red-Eyes Metal Evolution Dragon or Red-Eyes Talon Evolution Dragon	If it was not Summoned this turn: 	"Send 1 ""Metalmorph"" or ""Dragon Nails"" (whichever is not mentioned on the Evolution Material used) from your hand or field to the GY."	N/A
Red-Eyes Metal Evolution Dragon	Red-Eyes Black Dragon	N/A	"Send 1 ""Metalmorph"" from your hand or field to the GY."	N/A
Red-Eyes Talon Evolution Dragon	Red-Eyes Black Dragon	N/A	"Send 1 ""Dragon Nails"" from your hand or field to the GY."	N/A
Sage of a Thousand Years - Dark Sage	Dark Magician	"The effect of ""Time Wizard"" was activated and the coin toss was called right: "	N/A	"Immediately after that effect resolves, Evolution Summon this card, even if it is the opponent's turn."
Triple Harpie Lady Sisters	Harpie Lady	N/A	"Send 1 ""Elegant Egotist"" from your hand to the GY"	
Ultimate Moth of Evolution	Great Cocoon of Evolution	It must have 6 or more Moth Counters on it	N/A	N/A
