Card Name	Evolve	Condition:	Cost.	Additional Instructions.
Archlord Zerato	Warrior of Zera	The Sanctuary in the Sky is on the field.	N/A	N/A
Blue-Eyes Shining Dragon	Blue-Eyes Ultimate Dragon	None.	N/A	N/A
Cyber Barrier Dragon	Cyber Dragon	N/A	N/A	"Evolution Summon with ""Attack Reflector Unit""."
Cyber Laser Dragon	Cyber Dragon	N/A	N/A	"Evolution Summon with ""Photon Generator Unit""."
Dark Eradicator Warlock	Dark Magician	None.	N/A	N/A
Dark Magician Knight	Dark Magician	N/A	N/A	"Evolution Summon with ""Knight's Title""."
Dark Sage	Dark Magician	"The effect of ""Time Wizard"" was activated and the coin toss was called right:"	N/A	"Immediately after that effect resolves, Evolution Summon this card, even if it is the opponent's turn."
Elemental HERO Poison Rose	Elemental HERO Knopse	N/A	N/A	"Evolution Summon with ""Rose Bud""."
Fushioh Richie	Great Dezard	It has destroyed at least 2 monsters by battle.	N/A	N/A
Gearfried the Swordmaster	Gearfried the Iron Knight	N/A	N/A	"Evolution Summon with ""Release Restraint""."
Great Moth	Petit Moth	"It is your 4th turn after it was equipped with ""Cocoon of Evolution""."	N/A	N/A
Harpie Lady Sisters	Harpie Lady	N/A	N/A	"Evolution Summon with ""Elegant Egotist""."
Jinzo - Lord	Jinzo	None.	N/A	N/A
Larvae Moth	Petit Moth	"It is your 2nd turn after it was equipped with ""Cocoon of Evolution""."	N/A	N/A
Master Monk	Monk Fighter	None.	N/A	N/A
Mazera DeVille	Warrior of Zera	Pandemoniumm is on the field.	N/A	N/A
Metalzoa	Zoa	N/A	"Send 1 ""Metalmorph"" equipped to it to the GY."	N/A
Mirage Knight	Dark Flare Knight	N/A	N/A	"Evolution Summon with the effect of ""Dark Flare Knight""."
Ocean Dragon Lord - Neo-Daedalus	Levia-Dragon - Daedalus	None.	N/A	N/A
Perfectly Ultimate Great Moth	Petit Moth	"It is at least the 6th of your turns after it was equipped with ""Cocoon of Evolution""."	N/A	N/A
Princess Curran	Ebon Magician Curran	If it destroyed a Level 5 or higher monster by battle this turn: 	"Send 1 ""Trial of the Princesses"" equipped to it to the GY."	N/A
Princess Pikeru	White Magician Pikeru	If it destroyed a Level 5 or higher monster by battle this turn: 	"Send 1 ""Trial of the Princesses"" equipped to it to the GY."	N/A
Red-Eyes Black Metal Dragon	Red-Eyes Black Dragon	N/A	"Send 1 ""Metalmorph"" equipped to it to the GY."	N/A
Red-Eyes Darkness Dragon	Red-Eyes Black Dragon	None.	N/A	N/A
The Legendary Fisherman III	The Legendary Fisherman	None.	N/A	N/A
Thousand Dragon	Baby Dragon	"The effect of ""Time Wizard"" was activated and the coin toss was called right: "	N/A	"Immediately after that effect resolves, Evolution Summon this card, even if it is the opponent's turn."
Thousand-Eyes Jellyfish	Ocean's Keeper	None.	N/A	N/A
Vampire Genesis	Vampire Lord	None.	N/A	N/A
Vennominaga the Deity of Poisonous Snakes	Vennominon the King of Poisonous Snakes	N/A	N/A	"Evolution Summon with ""Rise of the Snake Deity""."
Wall Shadow	Labyrinth Wall	N/A	"Send 1 ""Magical Labyrinth"" equipped to it to the GY."	N/A
Winged Kuriboh LV10	Winged Kuriboh	N/A	N/A	"Evolution Summon with ""Transcendent Wings""."
